Quarter,Job_Vacancies,unemployed,Tightness,unemployment_rate,underemployment_rate,underutilisation_rate,tightness_change,unemployment_change,underemployment_change,underutilisation_change
2006-02-15,144.3,537.4191015,0.2685055287339838,5.1035413,6.6460297,11.749571,NA,NA,NA,NA
2006-05-15,154.1,507.4982553,0.30364636408238704,4.7983153,6.525646,11.3239613,0.03514083534840323,-0.3052260000000002,-0.12038369999999965,-0.425609699999999
2006-08-15,154.9,503.3876982,0.30771510816392056,4.7121815,6.6067526,11.3189341,0.004068744081533515,-0.08613379999999982,0.08110660000000003,-0.005027200000000676
2006-11-15,162.1,483.7180364,0.3351125817147636,4.5151131,6.2524851,10.7675982,0.027397473550843043,-0.19706840000000003,-0.35426749999999974,-0.5513358999999998
2007-02-15,160.8,500.9392741,0.3209969916790759,4.6344561,6.4320806,11.0665367,-0.014115590035687686,0.11934300000000064,0.17959549999999957,0.2989385000000002
2007-05-15,168.6,463.3446129,0.36387603374680344,4.2645998,6.2730354,10.5376352,0.042879042067727524,-0.36985630000000036,-0.15904519999999955,-0.5289014999999999
2007-08-15,173.3,470.9735601,0.3679612077654718,4.2989954,6.2488783,10.5478737,0.004085174018668369,0.03439559999999986,-0.024157100000000042,0.010238499999999817
2007-11-15,183.3,489.1921392,0.3746993978680024,4.426834,6.0526951,10.4795291,0.006738190102530572,0.12783860000000047,-0.1961832000000001,-0.06834459999999964
2008-02-15,178.2,441.2960487,0.40381054968643776,3.9790282,5.9077888,9.886817,0.029111151818435377,-0.44780580000000025,-0.1449063000000006,-0.5927121
2008-05-15,184.5,475.9719684,0.3876278693894613,4.2665194,5.945157,10.2116764,-0.01618268029697645,0.28749119999999984,0.03736820000000041,0.32485939999999935
2008-08-15,NA,451.5259339,NA,4.0153748,5.7217663,9.7371411,NA,-0.25114459999999994,-0.2233907000000004,-0.47453529999999944
2008-11-15,NA,503.6169031,NA,4.4629287,6.3059401,10.7688687,NA,0.44755389999999995,0.5841738000000003,1.0317276
2009-02-15,NA,605.0203221,NA,5.3025728,7.2518476,12.5544204,NA,0.8396441000000001,0.9459074999999997,1.7855516999999992
2009-05-15,NA,664.7659942,NA,5.8122361,7.6518288,13.4640649,NA,0.5096632999999997,0.39998120000000004,0.9096445000000006
2009-08-15,NA,653.9628278,NA,5.714836,7.5606625,13.2754984,NA,-0.09740009999999977,-0.09116629999999937,-0.1885665000000003
2009-11-15,148.9,638.6487451,0.233148504780488,5.5586526,7.6025222,13.1611748,NA,-0.15618339999999975,0.04185969999999983,-0.11432360000000052
2010-02-15,168.4,610.974522,0.2756252412109584,5.2982033,7.4667038,12.764907,0.042476736430470396,-0.26044930000000033,-0.13581839999999978,-0.3962678000000004
2010-05-15,170.3,603.6395839,0.2821219889188251,5.2297625,6.9919274,12.2216899,0.006496747707866735,-0.0684408000000003,-0.47477640000000054,-0.5432170999999997
2010-08-15,178.6,586.0892682,0.30473173574482454,5.0321839,7.1910802,12.2232641,0.02260974682599942,-0.19757859999999994,0.19915280000000024,0.0015742000000003031
2010-11-15,191.1,601.0517475,0.3179426743119152,5.1092064,6.9152457,12.0244521,0.013210938567090658,0.0770225,-0.2758345000000002,-0.1988120000000002
2011-02-15,189.4,584.738966,0.32390521414302326,4.9718703,6.8657789,11.8376492,0.00596253983110806,-0.13733609999999974,-0.049466800000000255,-0.1868029
2011-05-15,187.3,589.6820094,0.31762881860780745,5.0133181,7.0708003,12.0841184,-0.006276395535215806,0.04144780000000026,0.20502140000000058,0.24646919999999994
2011-08-15,183.4,624.107726,0.29385952514229896,5.2700482,6.7543122,12.0243604,-0.02376929346550849,0.2567300999999995,-0.31648809999999994,-0.059757999999998646
2011-11-15,179.3,621.1498679,0.2886581954950457,5.2312284,7.067626,12.2988545,-0.005201329647253283,-0.03881979999999974,0.31331379999999953,0.2744940999999983
2012-02-15,181.8,617.2476141,0.29453333775146306,5.1917172,7.2502285,12.4419457,0.005875142256417387,-0.039511199999999747,0.18260250000000067,0.14309120000000064
2012-05-15,178.1,623.3963879,0.2856930252675274,5.2004639,7.3543496,12.5548134,-0.008840312483935686,0.008746699999999663,0.10412109999999952,0.11286770000000068
2012-08-15,175.3,617.7187655,0.28378610103921154,5.1570308,6.9140703,12.0711011,-0.0019069242283158427,-0.04343309999999967,-0.44027930000000026,-0.48371230000000054
2012-11-15,164.8,631.7108629,0.26087884454519483,5.256884,7.0423717,12.2992557,-0.022907256494016703,0.09985320000000009,0.12830140000000068,0.22815459999999987
2013-02-15,149.8,653.9292553,0.2290767675339391,5.3943354,7.0459817,12.4403171,-0.03180207701125573,0.13745139999999978,0.003609999999999225,0.1410613999999999
2013-05-15,143.5,680.9366386,0.21073913763112348,5.6097768,7.460552,13.0703288,-0.018337629902815622,0.21544139999999956,0.4145703000000003,0.6300117000000007
2013-08-15,140.6,711.199369,0.1976942136460191,5.8436797,7.5859943,13.429674,-0.013044923985104373,0.23390290000000036,0.12544230000000045,0.3593451999999999
